          (  48,   40) (  38,   24) (  40,    0) (  41,   56) (  41,   52) (  49,   59) (  42,   46) (  39,   52) (  38,   30) (  39,   33)
          (  50,   40) (  38,   57) (  42,   64) (  38,   16) (  38,   64) (  46,   35) (  38,   58) (  44,   25) (  42,   27) (  43,   16)
          (  46,   47) (  40,   52) (  37,   49) (  39,    8) (  37,   26) (  45,   44) (  39,   21) (  39,   40) (  40,   24) (  42,   43)
          (  49,   55) (  41,   57) (  38,   58) (  41,   30) (  41,   16) (  49,   41) (  42,   23) (  39,   52) (  39,   53) (  37,   50)
          (  43,   61) (  34,   31) (  43,   58) (  39,   41) (  40,   16) (  44,   50) (  40,   15) (  40,   33) (  42,   18) (  43,   52)
          (  53,   51) (  42,   53) (  39,   54) (  41,   17) (  39,   38) (  48,   25) (  41,   57) (  42,   34) (  41,   27) (  38,   58)
          (  50,   42) (  37,   63) (  40,   40) (  42,   32) (  41,   44) (  50,   61) (  41,   21) (  45,   15) (  45,   14) (  43,   24)
          (  43,   21) (  35,    7) (  40,   23) (  43,   51) (  39,   50) (  48,   53) (  41,   31) (  42,   23) (  42,   32) (  41,   53)
          (  50,   26) (  40,   16) (  39,   31) (  41,   35) (  42,   18) (  48,   36) (  41,   52) (  37,   50) (  43,   24) (  41,   26)
          (  52,   26) (  41,   31) (  41,   53) (  39,   44) (  40,   59) (  47,   32) (  41,   65) (  41,   29) (  44,   40) (  39,   29)
          (  51,   40) (  40,   36) (  43,   40) (  43,   26) (  44,   38) (  46,   33) (  41,   35) (  43,   48) (  44,   24) (  42,   25)
          (  46,   34) (  39,   56) (  41,   65) (  43,   64) (  42,   31) (  51,   43) (  42,   42) (  44,   41) (  41,   55) (  37,   16)
          (  47,   58) (  38,   16) (  36,   54) (  42,   26) (  40,   38) (  48,   43) (  39,   42) (  43,   23) (  41,   50) (  37,   32)
          (  47,   49) (  39,   40) (  42,   43) (  41,   16) (  42,   46) (  50,   57) (  44,   14) (  42,   40) (  41,   32) (  42,   50)
          (  46,    9) (  39,   87) (  40,   45) (  39,   43) (  44,   47) (  47,   17) (  42,   64) (  40,   30) (  45,   36) (  43,   25)
          (  49,   42) (  41,   34) (  42,   34) (  40,    0) (  39,   42) (  48,   31) (  42,   70) (  44,   24) (  43,   46) (  39,   40)
          (  49,   41) (  41,   58) (  41,   48) (  39,   51) (  39,   36) (  52,   23) (  42,   79) (  38,   57) (  40,   49) (  39,   22)
          (  44,   41) (  45,   51) (  37,   14) (  40,   35) (  41,   33) (  52,   27) (  42,   34) (  42,   14) (  40,   24) (  41,   39)
          (  47,   14) (  38,   42) (  42,   16) (  42,   17) (  39,   17) (  50,   16) (  39,   84) (  44,   25) (  39,   51) (  40,   48)
          (  52,   36) (  39,   32) (  41,   17) (  35,   43) (  41,    9) (  47,    8) (  42,   33) (  37,    6) (  44,   34) (  44,   16)
          (  48,   31) (  41,   68) (  41,   35) (  41,   27) (  40,   31) (  51,   41) (  40,   40) (  41,   16) (  40,   40) (  36,   15)
          (  45,   48) (  45,   39) (  45,   44) (  45,   35) (  45,   45) (  54,   27) (  45,   53) (  45,   45) (  45,   36) (  45,   36)
          (  54,   27) (  45,   35) (  45,    9) (  45,   36) (  45,   36) (  54,   54) (  45,   35) (  45,   71) (  45,   36) (  45,   18)
          (  54,   72) (  45,   44) (  45,   63) (  45,   36) (  45,   36) (  54,   18) (  45,   44) (  45,   36) (  45,   36) (  45,   45)
          (  54,   45) (  45,   35) (  45,   45) (  45,   27) (  45,   72) (  54,   54) (  45,   70) (  45,   36) (  45,   36) (  45,   27)
          (  54,   27) (  45,   53) (  45,   27) (  45,   27) (  45,   18) (  54,   54) (  45,   44) (  45,   36) (  45,   35) (  45,   54)
          (  54,   27) (  45,   53) (  45,   45) (  45,   27) (  45,   27) (  54,   45) (  45,   35) (  45,    9) (  45,   54) (  45,   26)
          (  48,    0) (  45,   62) (  45,   63) (  45,   27) (  45,   54) (  54,   27) (  45,   53) (  45,   27) (  45,   36) (  45,   45)
          (  54,   36) (  45,   53) (  45,   27) (  45,   54) (  45,   63) (  54,   45) (  45,   35) (  45,   27) (  45,   43) (  45,   45)
          (  54,   44) (  45,   26) (  45,   54) (  45,   63) (  45,   45) (  54,   54) (  45,   71) (  45,   18) (  45,   36) (  45,   54)
          (  54,   18) (  45,   44) (  45,   18) (  45,   27) (  45,   90) (  54,   63) (  45,   35) (  45,   36) (  45,   36) (  45,   54)
          (  54,   36) (  45,   35) (  45,   36) (  40,    0) (  45,   36) (  54,   45) (  45,   62) (  45,   45) (  45,   36) (  45,   45)
          (  54,   36) (  45,   62) (  40,    0) (  45,   45) (  45,   18) (  54,   18) (  45,   62) (  45,   54) (  45,   43) (  45,   72)
